GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
unit-test-sample-rest,cl.tsoft.labs.ut.sample.rest.entitie.type,Rut,37,186,5,25,0,33,6,21,1,11
unit-test-sample-rest,cl.tsoft.labs.ut.sample.rest.repository,JpaPersonRepositoryImpl,70,22,6,2,18,7,8,3,5,2
unit-test-sample-rest,cl.tsoft.labs.ut.sample.rest,AppWireMock,141,0,0,0,36,0,2,0,2,0
unit-test-sample-rest,cl.tsoft.labs.ut.sample.rest,ApiRootApplication,3,0,0,0,1,0,1,0,1,0
unit-test-sample-rest,cl.tsoft.labs.ut.sample.rest.service.exception,BusinessException,0,4,0,0,0,2,0,1,0,1
unit-test-sample-rest,cl.tsoft.labs.ut.sample.rest.service.config,Configuration,29,0,0,0,9,0,2,0,2,0
unit-test-sample-rest,cl.tsoft.labs.ut.sample.rest.controller,PersonController,23,112,0,2,11,43,1,10,1,9
unit-test-sample-rest,cl.tsoft.labs.ut.sample.rest.service.impl,PersonServiceImpl,61,83,12,16,11,17,8,12,2,4
unit-test-sample-rest,cl.tsoft.labs.ut.sample.rest.service.impl,RickAndMortyServiceImpl,5,57,1,1,1,16,1,3,0,3
unit-test-sample-rest,cl.tsoft.labs.ut.sample.rest.controller.dto,PersonMapperImpl,4,127,2,8,2,25,2,6,0,3
unit-test-sample-rest,cl.tsoft.labs.ut.sample.rest.controller.dto,PersonDto.PersonDtoBuilder,42,56,0,0,0,1,1,9,1,9
unit-test-sample-rest,cl.tsoft.labs.ut.sample.rest.controller.dto,PersonDto,185,184,43,19,0,11,32,20,2,19
unit-test-sample-rest,cl.tsoft.labs.ut.sample.rest.controller.dto,PersonMapper,4,110,2,18,2,24,2,14,0,6
unit-test-sample-rest,cl.tsoft.labs.ut.sample.rest.entitie.converter,RutConverter,17,0,4,0,5,0,5,0,3,0
unit-test-sample-rest,cl.tsoft.labs.ut.sample.rest.entitie.converter,LocalDateConverter,23,0,4,0,5,0,5,0,3,0
unit-test-sample-rest,cl.tsoft.labs.ut.sample.rest.entitie,Person,229,198,52,26,0,10,38,24,2,21
unit-test-sample-rest,cl.tsoft.labs.ut.sample.rest.entitie,RickAndMortyCharacter,337,47,70,0,4,5,43,13,8,13
